t=2025-09-21T02:32:42-0400 lvl=info msg="no configuration paths supplied"
t=2025-09-21T02:32:42-0400 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/prajit/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/prajit/.ngrok2/ngrok.yml
t=2025-09-21T02:32:42-0400 lvl=info msg="using configuration at default config path" path=/Users/prajit/.ngrok2/ngrok.yml
t=2025-09-21T02:32:42-0400 lvl=info msg="open config file" path=/Users/prajit/.ngrok2/ngrok.yml err=nil
t=2025-09-21T02:34:29-0400 lvl=info msg="join connections" obj=join id=b6191adacac7 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:30-0400 lvl=info msg="join connections" obj=join id=91ceaee929a5 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:32-0400 lvl=info msg="join connections" obj=join id=7905161cfaf5 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:32-0400 lvl=info msg="join connections" obj=join id=330f70bcde0e l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:32-0400 lvl=info msg="join connections" obj=join id=df1e8dee9ede l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:35-0400 lvl=info msg="join connections" obj=join id=d6d910bdb7c3 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:36-0400 lvl=info msg="join connections" obj=join id=de3ea7c9bdda l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:37-0400 lvl=info msg="join connections" obj=join id=d57eebb1e5f8 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:37-0400 lvl=info msg="join connections" obj=join id=adecbc95357b l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:39-0400 lvl=info msg="join connections" obj=join id=43c3fbb1422c l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:40-0400 lvl=info msg="join connections" obj=join id=c6bf15c5519c l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:43-0400 lvl=info msg="join connections" obj=join id=cde063d20ac4 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:49-0400 lvl=info msg="received stop request" obj=app stopReq="{err:<nil> restart:false}"
t=2025-09-21T02:34:49-0400 lvl=info msg="session closing" obj=tunnels.session err=nil
